 =============== Calibration Condition Section =============== 
RefNum = 1
Radius1 = 00800
Radius2 = 00000

 ================= Calibration Data Section ================== 
WORKINGDISTANCE	=	30000

------------- Distance from center of Placido --------------- 
angle	Ring0	Ring1	Ring2	Ring3	Ring4	Ring5	Ring6	Ring7	Ring8	Ring9	Ring10	Ring11	Ring12	Ring13	Ring14	Ring15	Ring16	Ring17	Ring18	Ring19	Ring20	Ring21	Ring22	Ring23	Ring24	Ring25	Ring26	Ring27	Ring28	Ring29	Ring30	Ring31	Ring32	Ring33	Ring34	Ring35	Ring36	Ring37	Ring38	
    0	      0	   1286	   1553	   1827	   2103	   2378	   2650	   2921	   3197	   3479	   3760	   4029	   4302	   4584	   4861	   5139	   5419	   5701	   6017	   6339	   6620	   6901	   7180	   7456	   7738	   8022	   8298	   8575	   8849	   9121	   9389	   9657	   9918	  10174	  10419	  10656	  10881	  11097	      0	
    1	      0	   1286	   1553	   1827	   2103	   2378	   2649	   2921	   3197	   3480	   3760	   4029	   4302	   4584	   4861	   5138	   5419	   5701	   6017	   6339	   6620	   6901	   7180	   7456	   7738	   8023	   8299	   8575	   8849	   9121	   9390	   9657	   9918	  10174	  10420	  10656	  10881	  11097	      0	
    2	      0	   1286	   1553	   1827	   2102	   2378	   2649	   2921	   3197	   3480	   3760	   4029	   4302	   4584	   4861	   5139	   5419	   5701	   6018	   6339	   6620	   6901	   7181	   7456	   7738	   8023	   8299	   8575	   8849	   9121	   9390	   9657	   9919	  10175	  10420	  10657	  10881	  11097	      0	
    3	      0	   1286	   1553	   1827	   2102	   2378	   2649	   2921	   3197	   3480	   3760	   4029	   4302	   4584	   4861	   5139	   5419	   5701	   6018	   6339	   6620	   6901	   7181	   7456	   7738	   8023	   8299	   8576	   8849	   9121	   9390	   9658	   9919	  10175	  10420	  10657	  10881	  11098	      0	
    4	      0	   1286	   1553	   1827	   2102	   2378	   2649	   2921	   3197	   3479	   3759	   4029	   4302	   4584	   4861	   5139	   5419	   5701	   6018	   6339	   6620	   6901	   7181	   7457	   7738	   8023	   8299	   8576	   8850	   9121	   9390	   9658	   9919	  10175	  10421	  10657	  10882	  11098	      0	
    5	      0	   1286	   1553	   1827	   2102	   2378	   2650	   2921	   3197	   3479	   3758	   4028	   4302	   4583	   4861	   5139	   5419	   5701	   6018	   6339	   6620	   6901	   7181	   7457	   7739	   8023	   8300	   8577	   8850	   9122	   9391	   9658	   9919	  10176	  10421	  10658	  10882	  11099	      0	
    6	      0	   1286	   1553	   1827	   2102	   2378	   2650	   2922	   3197	   3479	   3758	   4028	   4302	   4583	   4861	   5139	   5420	   5701	   6018	   6340	   6620	   6901	   7182	   7457	   7739	   8023	   8300	   8577	   8850	   9122	   9391	   9658	   9919	  10176	  10422	  10658	  10883	  11099	      0	
    7	      0	   1286	   1553	   1827	   2102	   2377	   2650	   2922	   3197	   3478	   3757	   4028	   4302	   4582	   4861	   5139	   5420	   5701	   6018	   6340	   6620	   6901	   7182	   7458	   7739	   8023	   8300	   8577	   8851	   9122	   9391	   9658	   9920	  10177	  10422	  10659	  10883	  11100	      0	
    8	      0	   1286	   1553	   1827	   2102	   2377	   2649	   2922	   3197	   3478	   3756	   4028	   4301	   4582	   4861	   5139	   5420	   5701	   6019	   6340	   6620	   6902	   7182	   7458	   7739	   8024	   8300	   8577	   8851	   9122	   9392	   9659	   9920	  10177	  10423	  10659	  10884	  11100	      0	
    9	      0	   1286	   1554	   1827	   2102	   2377	   2649	   2921	   3197	   3477	   3754	   4027	   4301	   4581	   4860	   5139	   5420	   5701	   6019	   6340	   6620	   6902	   7182	   7458	   7740	   8024	   8300	   8577	   8851	   9122	   9392	   9659	   9920	  10177	  10423	  10660	  10884	  11101	      0	
